                              name                               |                                domain                                 | count_for_domain 
-----------------------------------------------------------------+-----------------------------------------------------------------------+------------------
 Comptoir Libanais                                               | comptoirlibanais.com                                                  |               22
 Burger & Lobster                                                | burgerandlobster.com                                                  |               19
 Sticks'n'Sushi                                                  | sticksnsushi.com                                                      |               18
 by CHLOE.                                                       | eatbychloe.com                                                        |               17
 Giggling Squid                                                  | gigglingsquid.com                                                     |               15
 Zuma                                                            | zumarestaurant.com                                                    |               14
 Franco Manca                                                    | francomanca.co.uk                                                     |               13
 Rosa's Thai Cafe                                                | rosasthaicafe.com                                                     |               12
 Busaba Eathai                                                   | busaba.com                                                            |               11
 Hakkasan                                                        | hakkasan.com                                                          |               11
 Gusto                                                           | gustorestaurants.uk.com                                               |               11
 Miller & Carter                                                 | millerandcarter.co.uk                                                 |               11
 Pizza Pilgrims                                                  | pizzapilgrims.co.uk                                                   |               10
 Tonkotsu                                                        | tonkotsu.co.uk                                                        |               10
 Flat Iron                                                       | flatironsteak.co.uk                                                   |                9
 MEAT Liquor                                                     | meatliquor.com                                                        |                9
 Patty & Bun                                                     | pattyandbun.co.uk                                                     |                9
 Five Guys                                                       | restaurants.fiveguys.co.uk                                            |                9
 Fire Wings                                                      | firewings.com                                                         |                8
 The Hoxton                                                      | thehoxton.com                                                         |                8
 Dishoom                                                         | dishoom.com                                                           |                8
 Eggslut                                                         | eggslut.com                                                           |                8
 Mowgli Street Food                                              | mowglistreetfood.com                                                  |                8
 Bill's                                                          | bills-website.co.uk                                                   |                8
 Bulla Gastrobar                                                 | bullagastrobar.com                                                    |                7
 Chaophraya                                                      | chaophraya.co.uk                                                      |                7
 Nando's                                                         | nandos.co.uk                                                          |                7
 Heartcore                                                       | heartcore.co.uk                                                       |                7
 Frankies Pizza                                                  | frankiespizza.dk                                                      |                7
 Pizza Express                                                   | pizzaexpress.com                                                      |                7
 Nobu                                                            | noburestaurants.com                                                   |                7
 Pollo Tropical                                                  | pollotropical.com                                                     |                7
 Hawksmoor                                                       | thehawksmoor.com                                                      |                7
 Homeslice                                                       | homeslicepizza.co.uk                                                  |                6
 Honest Burgers                                                  | honestburgers.co.uk                                                   |                6
 Oath Pizza                                                      | oathpizza.com                                                         |                6
 Le Pain Quotidien                                               | lepainquotidien.com                                                   |                6
 EL&N                                                            | elnlondon.co.uk                                                       |                6
 Cosy Club                                                       | cosyclub.co.uk                                                        |                6
 French Connection                                               | frenchconnection.com                                                  |                6
 Pubbelly Sushi                                                  | pubbellyglobal.com                                                    |                6
 Yard Sale Pizza                                                 | yardsalepizza.com                                                     |                5
 Pho                                                             | phocafe.co.uk                                                         |                5
 The Real Greek                                                  | therealgreek.com                                                      |                5
 Dirty Bones                                                     | dirty-bones.com                                                       |                5
 All Star Lanes                                                  | allstarlanes.co.uk                                                    |                5
 WFM Coffee Bar                                                  | wholefoodsmarket.com                                                  |                5
 Piccolino                                                       | piccolinorestaurants.com                                              |                5
 Amorino                                                         | amorino.com                                                           |                5
 Gaucho                                                          | gauchorestaurants.com                                                 |                5
 Manekineko                                                      | manekineko.com.br                                                     |                5
 GAIL's                                                          | gailsbread.co.uk                                                      |                5
 Joe's Pizza                                                     | joespizzanyc.com                                                      |                5
 The Breakfast Club                                              | thebreakfastclubcafes.com                                             |                5
 Caravan                                                         | caravanrestaurants.co.uk                                              |                5
 Eat a Pitta                                                     | eatapitta.co.uk                                                       |                4
 Coppa Club                                                      | coppaclub.co.uk                                                       |                4
 Lussmanns                                                       | lussmanns.com                                                         |                4
 The Gate                                                        | thegaterestaurants.com                                                |                4
 Greggs                                                          | greggs.co.uk                                                          |                4
 Wimpy                                                           | locations.wimpy.uk.com                                                |                4
 Ottolenghi                                                      | ottolenghi.co.uk                                                      |                4
 Daylesford Organic                                              | daylesford.com                                                        |                4
 Xi'an Famous Foods                                              | xianfoods.com                                                         |                4
 Mildreds                                                        | mildreds.co.uk                                                        |                4
 Tapas Revolution                                                | tapasrevolution.com                                                   |                4
 SUSHISAMBA                                                      | sushisamba.com                                                        |                4
 Turtle Bay                                                      | turtlebay.co.uk                                                       |                4
 Barrafina                                                       | barrafina.co.uk                                                       |                4
 Itsu                                                            | itsu.com                                                              |                4
 wagamama                                                        | wagamama.com                                                          |                4
 Voodoo Ray's                                                    | voodoorays.com                                                        |                4
 Shangri-La                                                      | shangri-la.com                                                        |                4
 Zaza                                                            | zaza.co.uk                                                            |                4
 Gasoline Grill                                                  | gasolinegrill.com                                                     |                4
 Cowshed                                                         | cowshed.com                                                           |                4
 Boston Tea Party                                                | bostonteaparty.co.uk                                                  |                4
 Roka                                                            | rokarestaurant.com                                                    |                4
 The Alchemist                                                   | thealchemist.uk.com                                                   |                4
 Bread Ahead                                                     | breadahead.com                                                        |                4
 Ippudo                                                          | ippudo.co.uk                                                          |                4
 Pizza Union                                                     | pizzaunion.com                                                        |                3
 Balans                                                          | balans.co.uk                                                          |                3
 CVI.CHE 105                                                     | ceviche105.com                                                        |                3
 Four Seasons                                                    | fourseasons.com                                                       |                3
 Monte Mar                                                       | montemar.pt                                                           |                3
 Heavenly Desserts                                               | heavenlydesserts.co.uk                                                |                3
 Market Halls                                                    | markethalls.co.uk                                                     |                3
 Blondies Kitchen                                                | blondieskitchen.co.uk                                                 |                3
 Big Easy Bar.B.Q & Crabshack                                    | bigeasy.co.uk                                                         |                3
 Pix Pintxos                                                     | pix-bar.com                                                           |                3
 Pieminister                                                     | pieminister.co.uk                                                     |                3
 Bocas Grill                                                     | bocasgrill.com                                                        |                3
 Prezzo                                                          | prezzorestaurants.co.uk                                               |                3
